0073:      { 1C5 5 ---  1CC 5 ---  1C6 5 ---  1CD 5 --- }
00F3:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00F4:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00F5:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00F6:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00F7:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00F8:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00F9:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00FA:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00FB:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00FC:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00FD:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00FE:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

00FF:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

0107:      { 1D8 3 ---  1DA 3 ---  1D9 3 ---  1DB 3 --- }

0108:      { 1D9 3 ---  1DA 3 ---  1D9 3 ---  1DB 3 --- }

0109:      { 1D9 3 ---  1DA 3 ---  1D8 3 x--  1DB 3 --- }

010A:      { 1D9 3 ---  1E5 3 ---  1D9 3 ---  1E5 3 --- }

010B:      { 1C1 2 --p  1D1 2 --p  1C2 2 --p  1D2 2 --p }

010C:      { 1F2 2 --p  1E2 2 --p  1C3 2 --p  1D3 2 --p }

010D:      { 1E1 2 --p  1F1 2 --p  1E3 2 --p  1F3 2 --p }

010E:      { 1CC 2 ---  1DC 2 ---  1CB 2 ---  1DB 2 --- }

010F:      { 1CA 2 ---  1E0 2 ---  1CB 2 ---  1DB 2 --- }

0110:      { 1CC 2 ---  1DC 2 ---  1CA 2 x--  1E0 2 x-- }

0153:      { 1F4 5 ---  1F6 5 ---  1F5 5 ---  1F7 5 --- }

0154:      { 1F8 5 ---  1F8 5 ---  1F9 5 ---  1F9 5 --- }

0155:      { 1F6 5 -y-  1F4 5 -y-  1F7 5 -y-  1F5 5 -y- }

0156:      { 1FA 6 ---  1FD 6 ---  1FB 6 ---  1FE 6 --- }

0157:      { 1FC 6 ---  1FF 6 ---  1FC 6 ---  1FF 6 --- }

0158:      { 1FB 6 x--  1FE 6 x--  1FA 6 x--  1FD 6 x-- }

0159:      { 0FF 5 ---  0CD 5 ---  0CD 5 ---  0CE 5 --- }

015A:      { 0CE 5 ---  0D8 5 ---  0CF 5 ---  0D9 5 --- }

015B:      { 0CE 5 ---  0D8 5 ---  0D8 5 ---  0D9 5 --- }

015C:      { 0D9 5 ---  0E0 5 ---  0E0 5 ---  0F8 2 --- }

015D:      { 1DD 2 xy-  1CD 2 xy-  1DA 2 x--  1DA 2 xy- }

015E:      { 1CB 2 x--  1DB 2 x--  1CA 2 x--  1DA 2 x-- }

015F:      { 1CA 2 ---  1DA 2 ---  1CB 2 ---  1DB 2 --- }

0160:      { 1DA 2 ---  1DA 2 -y-  1DD 2 -y-  1CD 2 -y- }

0161:      { 000 4 ---  010 4 ---  001 4 ---  011 4 --- }

0162:      { 002 4 ---  012 4 ---  003 4 ---  013 4 --- }

0163:      { 020 4 ---  020 4 ---  021 4 ---  021 4 --- }

0164:      { 022 4 ---  022 4 ---  023 4 ---  023 4 --- }

0165:      { 068 4 ---  06A 4 ---  069 4 ---  06B 4 --- }

0166:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

0167:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }

0168:      { 020 5 ---  020 5 ---  021 5 ---  021 5 --- }

0169:      { 022 5 ---  022 5 ---  023 5 ---  023 5 --- }

016A:      { 026 5 ---  036 5 ---  026 5 x--  036 5 x-- }

016B:      { 026 6 ---  036 6 ---  026 6 x--  036 6 x-- }

016C:      { 026 7 ---  036 7 ---  026 7 x--  036 7 x-- }

016D:      { 027 7 ---  037 7 ---  027 7 x--  037 7 x-- }
01C4:      { 0F8 2 ---  0AC 5 ---  0A8 5 ---  0AD 5 --- }

01C5:      { 0A9 5 ---  0AE 5 ---  0F8 2 ---  0AF 5 --- }

01C6:      { 0BF 5 ---  0CB 5 ---  0F8 2 ---  0CC 5 --- }

01C7:      { 0F8 2 ---  0B8 5 ---  0B8 5 ---  0B9 5 --- }

01EC:      { 0B9 5 ---  0C8 5 ---  0BC 5 ---  0FF 5 --- }

01ED:      { 0BD 5 ---  0C9 5 ---  0CD 5 ---  0CA 5 --- }

01EE:      { 0B9 5 ---  0C8 5 ---  0C8 5 ---  0FF 5 --- }

01EF:      { 0D3 5 ---  0C4 5 ---  0D4 5 ---  0F8 2 --- }
